Try,H-ind,Weight-ind,H-lan,Thumb-L,Wind,Dist-flr-thm,flr-type,sit-stand,a/s,class
1,180,66,77,3,no,64,granito,sentado,a,1
2,180,66,80,3,no,64,granito,sentado,s,0
3,180,66,80,3,no,64,granito,sentado,a,1
4,180,66,73,3,no,64,granito,sentado,s,0
5,180,66,70,3,no,64,granito,sentado,s,0
6,180,66,72,3,no,64,granito,sentado,s,0
7,180,66,72,3,no,64,granito,sentado,s,0
8,180,66,77,3,no,64,granito,sentado,a,1
9,180,66,130,3,no,124,granito,parado,s,0
10,180,66,136,3,no,124,granito,parado,s,0
11,180,66,128,3,no,124,granito,parado,s,0
12,180,66,126,3,no,123,granito,parado,a,1
13,180,66,128,3,no,124,granito,parado,s,0
14,180,66,132,3,no,124,granito,parado,a,1
15,180,66,130,3,no,124,granito,parado,a,1
16,180,66,128,3,no,124,granito,parado,a,1
17,157,53,68,2.8,no,57,granito,sentado,a,1
18,157,53,68,2.8,no,57,granito,sentado,s,0
19,157,53,73,2.8,no,57,granito,sentado,a,1
20,157,53,70,2.8,no,57,granito,sentado,s,0
21,157,53,66,2.8,no,57,granito,sentado,a,1
22,157,53,66,2.8,no,57,granito,sentado,s,0
23,157,53,73,2.8,no,57,granito,sentado,s,0
24,157,53,64,2.8,no,57,granito,sentado,s,0
25,157,53,114,2.8,no,103,granito,parado,a,1
26,157,53,118,2.8,no,57,granito,parado,s,0
27,157,53,130,2.8,no,57,granito,parado,a,1
28,157,53,112,2.8,no,57,granito,parado,s,0
29,157,53,114,2.8,no,57,granito,parado,s,0
30,157,53,116,2.8,no,57,granito,parado,a,1
31,157,53,123,2.8,no,57,granito,parado,a,1
32,157,53,124,2.8,no,57,granito,parado,a,1
33,157,53,118,2.8,no,57,granito,parado,a,1
34,163,70,113,5.5,no,110,lozeta,parado,s,0
35,163,70,109,5.5,no,105,lozeta,parado,a,1
36,163,70,116,5.5,no,115,lozeta,parado,a,1
37,163,70,112,5.5,no,80,lozeta,parado,s,0
38,163,70,194,5.5,no,130,lozeta,parado,a,1
39,163,70,143,5.5,no,140,lozeta,parado,s,0
40,163,70,61,5.5,no,60,lozeta,sentado,s,0
41,163,70,55,5.5,no,50,lozeta,sentado,a,1
42,163,70,59,5.5,no,55,lozeta,sentado,a,1
43,163,70,71,5.5,no,65,lozeta,sentado,a,1
44,163,70,31,5.5,no,30,lozeta,sentado,a,1
45,163,70,37,5.5,no,35,lozeta,sentado,a,1
46,158,64,116,6,no,80,lozeta,sentado,a,1
47,158,64,101,6,no,90,lozeta,sentado,a,1
48,158,64,138,6,no,100,lozeta,sentado,s,0
49,158,64,167,6,no,110,lozeta,parado,a,1
50,158,64,122,6,no,104,lozeta,parado,s,0
51,158,64,191,6,no,130,lozeta,parado,a,1
52,158,64,158,6,no,148,lozeta,parado,s,0
53,161,72,82,5,no,77,lozeta,sentado,a,1
54,161,72,79,5,no,77,lozeta,sentado,s,0
55,161,72,86,5,no,77,lozeta,sentado,a,1
56,161,72,88,5,no,77,lozeta,sentado,a,1
57,161,72,83,5,no,77,lozeta,sentado,s,0
58,161,72,82,5,no,77,lozeta,sentado,a,1
59,161,72,78,5,no,77,lozeta,sentado,a,1
60,170,60,131,6,no,115,lozeta,parado,s,0
61,170,60,146,6,no,110,lozeta,parado,a,1
62,170,60,119,6,no,115,lozeta,parado,s,0
63,170,60,168,6,no,115,lozeta,parado,a,1
64,170,60,132,6,no,115,lozeta,parado,a,1
65,170,60,130,6,no,115,lozeta,parado,s,0
66,170,60,137,6,no,115,lozeta,parado,s,0
67,172,70,37,6,no,131,madera,parado,s,0
68,172,70,37,6,no,51,tela,parado,a,1
69,172,70,37,6,no,100,tela,sentado,a,1
70,172,70,37,6,si,110,hormigon,sentado,s,0
71,160,55,30,3,no,55,madera,sentado,s,0
72,160,55,25,3,no,52,tela,sentado,s,0
73,165,62,15,4,no,43,madera,sentado,a,1
74,172,70,56,6,no,95,marmol,sentado,s,0
75,172,70,70,6,no,96,piel,sentado,a,1
76,165,87,35,6,si,150,concreto,parado,a,1
77,165,87,65,6,si,153,lozeta,parado,a,1
78,165,87,35,6,no,102,lozeta,parado,s,0
79,165,87,35,6,no,101,lozeta,sentado,s,0
80,165,87,21,6,no,30,lozeta,sentado,s,0
81,165,87,35,6,no,110,madera,parado,a,1
82,165,87,32,6,si,112,tela,parado,a,1
83,165,87,32,6,si,125,concreto,parado,s,0
84,170,89,12,7.2,no,121,madera,sentado,s,0
85,170,89,36,7.2,si,121,adoquin,parado,a,1
86,170,89,37,7.2,si,123,adoquin,sentado,s,0
87,170,89,35,7.2,si,123,madera,sentado,a,1
88,170,89,35,7.2,si,123,adoquin,sentado,s,0
89,170,89,35,7.2,si,123,concreto,sentado,a,1
90,170,89,24,7.2,si,123,adoquin,sentado,s,0
91,170,89,56,7.2,si,123,adoquin,sentado,a,1
92,170,89,72,7.2,no,123,madera,sentado,a,1
93,170,89,30,7.2,no,123,madera,parado,s,0
94,170,89,31,7.2,no,123,tela,parado,s,0
95,170,89,35,7.2,no,123,adoquin,sentado,s,0
96,170,89,15,7.2,no,123,tela,sentado,s,0
97,170,89,35,7.2,no,123,piel,sentado,a,1
98,170,89,70,7.2,si,123,adoquin,parado,s,0
99,170,89,35,7.2,si,123,piel,sentado,s,0
100,170,89,53,7.2,si,123,peil,parado,a,1
